,GSE000000
100506105,5.5194
100506123,10.4025
100506127,1.3279
100506128,4.9962
100506136,5.874
100506144,11.3368
100506164,5.7946
100506173,7.118
100506190,10.4053
100506191,7.4675
100506220,3.2937
100506241,1.3279
100506243,4.9007
100506247,6.1993
100506253,8.8385
100506255,7.1594
100506272,1.3279
100506310,5.3198
100506328,3.643
100506342,9.3611
100506351,1.3279
100506390,12.2506
100506393,1.3279
100506422,1.3279
100506459,8.1028
100506485,5.1313
100506514,8.4268
100506533,1.3279
100506581,10.9087
100506627,2.82775
100506639,10.4372
100506650,5.8102
100506658,8.502
100506676,7.0006
100506694,6.0735
100506710,13.2413
100506713,6.8307
100506731,1.3279
100506733,1.3279
100506736,1.3279
100506742,3.0987
100506748,11.0006
100506759,8.5194
100506816,4.1829
100506866,6.8476
100506871,1.3279
100506898,1.3279
100506930,9.0382
100506955,4.3823
100506972,5.9977
100507003,6.9687
100507012,2.535
100507050,6.69
100507055,5.9073
100507073,4.2364
100507096,1.3279
100507135,1.3279
100507199,4.8622
100507203,1.3279
100507205,3.5525
100507206,4.2978
100507236,1.3279
100507244,3.7927
100507290,13.3845
100507362,1.3279
100507410,5.5465
100507421,4.4124
100507431,3.4609
100507436,10.5398
100507465,1.3279
100507505,7.3432
100507507,10.1825
100507530,1.3279
100507533,1.3279
100507547,8.438
100507605,1.3279
100507608,10.7318
100507634,1.3279
100507637,9.6307
100507650,1.3279
100507679,1.3279
100507747,11.9475
100508233,2.7009
100508383,1.3279
100508384,6.2827
100509091,3.4584
100509175,5.7232
100509196,6.9049
100509378,4.6779
100509490,10.9307
100509553,10.0829
100509763,1.3279
100509860,4.7301
100509861,6.0483
10051,12.108
10052,8.545
100526693,9.56035
100526694,6.0795
100526737,13.8915
100526773,1.3279
100526832,8.2668
100526835,3.24685
100527963,6.6832
100529097,10.3346
100529240,7.343
10053,11.5519
100532736,15.9451
100533105,14.5765
100533106,9.3306
100533183,7.8478
100533496,5.8381
100533952,12.5905
100533997,1.3279
100534599,6.0389
10054,11.92175
10055,12.851
10056,10.9901
10057,10.0934
10058,10.4646
10059,9.3184
1006,1.3279
10060,3.3303
10061,9.9009
100616668,7.8055
10062,12.3388
100628314,5.4283
10063,14.3103
100652742,4.482
100652758,6.9141
100652762,13.2854
100652763,4.3781
100652764,7.2837
100652774,1.3279
100652791,5.1365
100652797,4.7563
100652805,7.6526
100652807,7.8163
100652822,1.3279
100652824,2.8776
100652838,6.1225
100652851,5.4397
100652857,2.8674
100652869,6.6377
100652917,5.7041
100652922,3.4081
100652953,15.9365
100652967,5.5513
100652995,5.3704
100653000,1.3279
100653058,8.9716
100653060,5.6802
100653080,2.7155
100653108,6.4479
100653210,12.8498
100653224,1.3279
100653245,6.5074
100653259,4.93915
100653275,1.3279
100653296,8.6807
100653325,5.7131
100653515,2.6958
10066,10.031
10067,14.2856
10068,7.2785
10069,9.084
1007,5.4954
10071,7.9369
10072,10.0982
10073,8.5729
10075,10.63145
10076,6.89475
10077,4.94635
10078,11.82115
10079,12.23335
1008,1.3279
10081,12.0801
10082,6.9524
100820829,6.6397
10083,11.0557
10084,10.2634
10085,8.4066
10086,1.3279
10087,10.5874
10089,6.6493
1009,6.4924
10090,7.4106
10092,14.6637
10093,9.1961
10094,16.1667
10095,11.7133
10096,14.0154
10097,13.0095
10098,9.3994
10099,14.8725
101,11.9141
1010,3.5317
10100,4.0227
10101,8.9448
10102,12.9257
10103,15.595
10105,13.3147
10106,11.36705
10107,8.4211
10109,15.1747
10110,8.9952
10111,10.6405
10112,9.3025
10113,10.8151
10114,7.2665
10116,8.5858
10117,1.3279
1012,8.4904
10120,11.2454
10121,10.7687
10123,9.7002
10124,11.0337
10125,8.6337
10126,6.23175
10127,7.2609
10128,8.6473
10129,5.9758
1013,6.8785
10130,12.5518
10131,10.0723
10133,10.5227
10134,14.7992
10135,11.4892
10136,5.6034
10137,10.0479
10138,8.52075
10139,8.10225
1014,10.2205
10140,12.2832
10141,4.005
10142,9.1908
10143,1.3279
10144,10.5443
10146,10.6625
10147,10.26965
10148,8.2363
10149,3.3434
1015,11.3529
10150,10.2256
10152,9.242
10153,11.5756
10154,6.1318
10155,11.7813
10156,7.9941
10157,7.7845
10158,13.9144
10159,12.4891
1016,1.3279
10160,7.2904
10161,10.1481
10162,13.8416
10163,8.9498
10164,9.2228
10165,10.2941
10166,8.647
10168,8.0717
10169,13.70175
1017,7.6999
10170,9.6501
10171,10.1272
10172,7.4376
10174,14.1951
10175,11.2563
10178,3.1184
10179,10.3597
1018,10.9417
10180,10.4116
10181,14.0875
10184,10.5813
10186,10.1706
10188,8.18425
10189,11.7568
1019,13.1983
10190,11.70885
10193,7.9366
10194,9.8173
10195,12.6972
10196,8.136
10197,11.3732
10198,7.4713
10199,12.9527
102,9.4911
1020,10.2975
10200,8.6736
10201,9.5441
10202,6.58
10203,5.6227
10204,11.3724
10205,10.59245
10206,10.9454
10207,11.7946
10208,9.4125
10209,17.8608
1021,12.5906
10210,9.6471
10211,12.5158
10212,13.8374
10213,13.4621
10214,5.8192
10215,1.3279
10216,1.3279
10217,11.2203
10218,1.3279
10219,4.31675
1022,11.9247
10220,7.7325
10221,14.1858
10223,14.8072
10224,8.5271
10225,7.7698
10226,10.6623
10227,9.2481
10228,10.0306
10229,9.8891
10230,6.0865
10231,8.06235
10232,8.6262
10233,7.7007
10234,5.2365
10235,7.9406
10236,12.0004
10237,10.9223
10238,11.8008
10239,11.7462
1024,8.53705
10240,12.5504
10241,10.2882
10242,4.5642
10243,10.4539
10244,11.81535
10245,13.5793
10246,1.3279
10247,11.0578
10248,14.3478
10249,2.9664
1025,10.5362
10250,11.6452
10251,6.27775
10252,10.61755
10253,13.0544
10254,9.3573
10255,1.3279
10256,10.8741
10257,5.6022
1026,6.0285
10260,5.9617
10261,9.252
10262,6.481
10263,15.2108
10265,8.1018
10266,1.3279
10267,7.645
10268,6.2024
10269,14.0143
1027,11.1314
10270,11.9651
10272,7.7123
10273,12.5453
10274,7.9412
10276,13.44335
10277,7.86225
10278,8.0372
10279,9.53275
1028,11.0191
10280,13.2342
10281,2.72525
10282,9.13855
10283,9.7628
10284,9.6151
10285,10.61255
10286,11.7115
10287,10.5952
10288,9.096
10289,11.9828
1029,10.98205
10290,6.359
10291,11.4072
10293,10.9565
10294,10.1848
10295,9.8856
10296,9.1934
10297,5.0934
10298,8.342
10299,12.314
103,13.5471
1030,4.757
10300,7.69225
10301,10.189
10302,9.2309
10307,7.8407
10308,10.3785
10309,9.4344
1031,9.8105
10311,8.2765
10312,12.0858
10313,9.1709
10314,10.289
10316,6.6093
